index,Title,Gross,1st-100-Relative-Date,1st-0,1st-1,1st--2,1st--3,2nd-100-Relative-Date,2nd-0,2nd-1,2nd-2,2nd-3
130,special chabbis,,2013-01-31,,,,,,,,,
131,relatos salvajes,,2015-01-31,679780.0,605004.0,353485.0,299103.0,,,,,
132,skyfall,,2012-10-31,18731000.0,10489360.0,1123860.0,749240.0,,,,,
133,singin in the rain,,2013-05-31,39761.0,18290.0,13518.0,17494.0,,,,,
134,shutter island,,2010-02-28,4190650.0,4064930.0,419065.0,167626.0,,,,,
135,perfetti sconosciuti,,2016-01-31,366800.0,14672.0,0.0,0.0,,,,,
136,sanjuro,,2017-09-30,18653.0,2424.0,2238.0,1865.0,,,,,
137,red river,,2011-03-31,768623.0,407370.0,384311.0,376625.0,,,,,
138,patton,,2013-07-31,1635029.0,866565.0,670362.0,654011.0,,,,,
139,room,,2018-12-31,22282981.0,19163364.0,18940534.0,19163364.0,2019-01-31,22282981.0,22282981.0,19163364.0,18940534.0
140,smultronstället,,2012-06-30,11390.0,5809.0,6606.0,3303.0,,,,,
141,rushmore,,2020-06-30,1611786.0,548007.0,306239.0,241768.0,,,,,
142,pk,,2014-11-30,13349285.0,5339714.0,4939235.0,5206221.0,,,,,
143,sling blade,,2019-10-31,72310.0,33262.0,27478.0,37601.0,,,,,
144,sing street,,2016-12-31,305428.0,189365.0,143551.0,103845.0,,,,,
145,ray,,2014-08-31,15908507.0,10976870.0,10340529.0,9067849.0,,,,,
146,serpico,,2015-02-28,118215.0,50832.0,62654.0,72111.0,,,,,
147,rope,,2020-04-30,1794953.0,1651356.0,1328265.0,1274416.0,,,,,
148,soorarai pottru,,2020-10-31,1001550.0,120186.0,70108.0,100155.0,,,,,
149,silver linings playbook,,2013-01-31,3126500.0,2813850.0,844155.0,750360.0,,,,,
150,soul,,2010-03-31,9414243.0,8002106.0,6401685.0,5742688.0,,,,,
151,raazi,,2018-04-30,1853450.0,222414.0,18534.0,18534.0,,,,,
152,serbuan maut,,2012-02-29,0.0,0.0,0.0,0.0,2012-03-31,0.0,0.0,0.0,0.0
153,requiem for a dream,,2010-11-30,424132.0,330822.0,318099.0,309616.0,,,,,
154,scent of a woman,,2011-07-31,302820.0,81761.0,39366.0,36338.0,,,,,
155,paan singh tomar,,2012-02-29,408533.0,32682.0,4085.0,0.0,,,,,
156,sabrina,,2018-10-31,4784664.0,3636345.0,1531092.0,1387552.0,,,,,
157,rosemarys baby,,2014-04-30,37247.0,11174.0,5587.0,4842.0,,,,,
158,rush,,2012-03-31,,,,,,,,,
159,rebecca,,2011-02-28,8390777.0,1845970.0,2013786.0,2097694.0,,,,,
160,philomena,,2013-12-31,985537.0,591322.0,502624.0,118264.0,,,,,
161,road to perdition,,2020-03-31,95630.0,12432.0,12432.0,12432.0,,,,,
162,rogue one,,2016-11-30,8630500.0,863050.0,604135.0,258915.0,,,,,
163,rockstar,,2011-10-31,4700976.0,2115439.0,1833380.0,987204.0,,,,,
164,papillon,,2020-07-31,1057906.0,740534.0,719376.0,719376.0,,,,,
165,portrait de la jeune fille en feu,,2019-08-31,24666.0,1726.0,1480.0,1726.0,,,,,
166,roma,,2018-03-31,19429227.0,13406166.0,13017582.0,11463244.0,,,,,
167,ran,,2016-10-31,1411290.0,1185484.0,1114919.0,1044355.0,,,,,
168,planet of the apes,,2014-06-30,5999100.0,839874.0,539919.0,359946.0,,,,,
169,rio bravo,,2019-05-31,126937.0,77432.0,81240.0,86317.0,,,,,
170,per un pugno di dollari,,2020-06-30,35553.0,6044.0,9243.0,9954.0,,,,,
171,roman holiday,,2012-01-31,196626.0,33426.0,35392.0,27527.0,,,,,
172,psycho,,2019-02-28,1690754.0,1673846.0,1521678.0,1217342.0,,,,,
173,paddington 2,,2017-12-31,735675.0,551756.0,382551.0,73567.0,,,,,
174,my name is khan,,2010-01-31,,,,,,,,,
175,night on earth,,2020-01-31,55303.0,27098.0,15485.0,13825.0,,,,,
176,my cousin vinny,,2020-10-31,85354.0,54626.0,44384.0,48651.0,,,,,
177,naked,,2014-08-31,32489494.0,31189914.0,29240544.0,30540124.0,,,,,
178,once,,2019-07-31,12041490.0,8188213.0,6381990.0,6261575.0,,,,,
179,ordinary people,,2012-03-31,372145.0,81872.0,81872.0,85593.0,,,,,
180,only the brave,,2017-09-30,839360.0,75542.0,33574.0,58755.0,,,,,
181,once upon a time... in hollywood,,2019-08-31,34777.0,10781.0,2434.0,347.0,,,,,
182,la règle du jeu,,2010-08-31,12909.0,9423.0,3356.0,2710.0,,,,,
183,moonrise kingdom,,2012-05-31,1298850.0,545517.0,64942.0,51954.0,,,,,
184,nuovo cinema paradiso,,2012-11-30,50400.0,15120.0,13104.0,19152.0,,,,,
185,my fair lady,,2010-03-31,237578.0,116413.0,118789.0,133044.0,2011-09-30,237578.0,142547.0,114037.0,121165.0
186,nightcrawler,,2014-10-31,1209600.0,483840.0,96768.0,72576.0,,,,,
187,manchester by the sea,,2017-01-31,1680633.0,1344506.0,1193249.0,268901.0,,,,,
188,moana,,2016-11-30,6283817.0,3204747.0,565543.0,628381.0,,,,,
189,laura,,2020-07-31,11557251.0,6009770.0,6356488.0,5547480.0,,,,,
190,léon,,2013-08-31,908636.0,99950.0,99950.0,109036.0,,,,,
191,loving vincent,,2017-10-31,398266.0,346492.0,55757.0,23896.0,,,,,
