Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director,Corrected_Gross
capharnaüm,2018,A,126 min,Drama,8.4,75.0,nadine labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635,1661096,54333,153590,28180,1935939
hævnen,2010,R,118 min,"Drama, Romance",7.6,65.0,susanne bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,38491,1008098,50282,156165,29750,1352977
the broken circle breakdown,2012,,111 min,"Drama, Music, Romance",7.7,70.0,felix van groeningen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg,39379,175058,48550,52238,15014,223139
serbuan maut 2  berandal,2014,A,150 min,"Action, Crime, Thriller",8.0,71.0,gareth evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316,2625803,46002,112975,14236,3246039
jagten,2012,R,115 min,Drama,8.3,77.0,thomas vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,281623,687185,40992,138819,56466,875929
leviafan,2014,R,140 min,"Crime, Drama",7.6,92.0,andrey zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,49397,1092800,35900,152007,4120,1350928
once upon a time... in hollywood,2019,A,161 min,"Comedy, Drama",7.6,83.0,quentin tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,551309,142502728,34777,507152,1187284,163125343
gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller",8.6,96.0,bong joon ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,53367844,34640,2583,390600,61091096
manbiki kazoku,2018,A,121 min,"Crime, Drama",7.9,93.0,hirokazu koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka,62754,3313513,33000,102030,8231,3861764
the intouchables,2011,UA,112 min,"Biography, Comedy, Drama",8.5,57.0,olivier nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,760360,13182281,32928,104014,6606,17150696
bir zamanlar anadoluda,2011,,157 min,"Crime, Drama",7.9,82.0,nuri bilge ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,41995,13873,28050,4670,78041,18049
en man som heter ove,2015,PG-13,116 min,"Comedy, Drama, Romance",7.7,70.0,hannes holm,Rolf Lassgård,Bahar Pars,Filip Berg,Ida Engvoll,47444,3358518,27915,54526,19433,4146905
portrait de la jeune fille en feu,2019,R,122 min,"Drama, Romance",8.1,95.0,céline sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134,3759854,24666,58870,4806,4303970
kis uykusu,2014,,196 min,Drama,8.1,88.0,nuri bilge ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,46547,16552,23850,60878,78041,20461
mar adentro,2014,U,126 min,"Biography, Drama",8.0,74.0,alejandro amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554,2086345,20512,72030,3024,2579156
gods own country,2017,,104 min,"Drama, Romance",7.7,85.0,francis lee,Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart,25198,335609,16588,103021,37946,400692
jodaeiye nader az simin,2011,PG-13,123 min,Drama,8.3,95.0,asghar farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,220002,7098492,14200,101857,38566,9235433
mandariinid,2013,,87 min,"Drama, War",8.2,73.0,zaza urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,40382,144501,6600,52335,0,181531
birdman or  the unexpected virtue of ignorance,2014,A,119 min,"Comedy, Drama",7.7,87.0,alejandro g. iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,580291,42340598,2762,210155,19266,52341797
bãhubali  the beginning,2015,UA,159 min,"Action, Drama",8.0,,s.s. rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,102972,6738000,1608,153902,183475,8319696
ajeossi,2010,R,119 min,"Action, Crime, Drama",7.8,,jeong-beom lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848,646,609,156657,0,867
